,probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,gene,gene_HGNC,CTCF,distance,717HFZ,718AGZ,371WNR,318XQO,340OUL,893CAJ,151PZS,098CED,273PJW,377YFI,773VYR,928QES,786HDE,827FZN,364PIY,802QCI,021NNN,510ZEI,175NGE,670DBL,825ZCZ,912ILE,725WBV,829SZB,483NRC,717RYX,249ZBG,205OTD,765OKG,820YPQ,685BMF,545ZMG,294UQS,104ZSA,370EGY,860FWW,177TTP,151ZGD,743GHZ,990YHL,036WIO,state_modes
33230,cg18641937,chr1,160924388,160924390,+,ITLN2,ITLN2,chr1:160924123-160924257,132.0,18,11,18,18,18,18,11,18,18,17,17,17,18,9,17,18,18,18,17,11,18,18,18,11,18,18,18,18,17,18,18,10,18,18,17,18,18,18,17,18,18,18
33261,cg00446235,chr1,161008643,161008645,-,RP11-544M22.13;TSTD1,RP11-544M22.13;TSTD1,chr1:161008486-161008620,24.0,2,8,1,1,1,4,8,2,1,1,2,2,2,4,4,1,1,1,1,4,2,2,1,2,1,8,2,1,1,1,8,2,2,1,4,8,2,4,1,2,4,1
33270,cg07883333,chr1,161009752,161009754,+,RP11-544M22.13;TSTD1;USF1,RP11-544M22.13;TSTD1;USF1,chr1:161008486-161008620,1133.0,5,5,5,8,7,5,7,5,7,6,5,5,5,5,5,5,5,7,6,5,5,5,5,6,8,5,5,7,8,5,8,6,5,7,7,7,5,7,8,5,5,5
33273,cg06823263,chr1,161015118,161015120,-,USF1,USF1,chr1:161011385-161011519,3600.0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
33281,cg06034822,chr1,161016080,161016082,+,USF1,USF1,chr1:161011385-161011519,4562.0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,1,1
33289,cg01774645,chr1,161040043,161040045,+,ARHGAP30,ARHGAP30,chr1:161041730-161041864,1686.0,18,17,6,10,10,17,10,10,6,18,17,18,18,17,6,6,18,10,17,18,17,18,6,18,9,7,10,10,10,7,1,6,17,9,18,10,10,10,1,10,6,10
33302,cg22585988,chr1,161059326,161059328,-,PVRL4,NECTIN4,chr1:161067528-161067662,8201.0,18,16,18,3,11,18,10,18,10,18,17,17,18,17,18,1,18,10,10,1,18,18,4,18,18,3,18,18,6,3,2,6,18,11,11,18,18,17,2,18,4,18
33306,cg00756887,chr1,161059653,161059655,-,PVRL4,NECTIN4,chr1:161067528-161067662,7874.0,18,16,18,9,11,18,9,18,18,18,17,17,18,17,18,10,18,18,10,11,18,18,11,18,18,3,18,18,6,3,11,6,18,11,18,18,18,17,2,18,11,18
33332,cg13298382,chr1,161087634,161087636,-,NIT1;PFDN2,NIT1;PFDN2,chr1:161088899-161089033,1264.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
33338,cg10053203,chr1,161087997,161087999,-,NIT1;PFDN2,NIT1;PFDN2,chr1:161088899-161089033,901.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
33341,cg05650171,chr1,161089101,161089103,-,NIT1;PFDN2,NIT1;PFDN2,chr1:161088899-161089033,69.0,3,8,3,3,3,9,9,8,11,3,3,4,10,3,3,8,9,9,3,9,4,9,8,11,9,9,9,3,9,9,3,9,3,9,3,9,3,9,3,4,11,3
33342,cg04991214,chr1,161089117,161089119,-,NIT1;PFDN2,NIT1;PFDN2,chr1:161088899-161089033,85.0,3,8,3,3,3,9,9,8,11,3,3,4,10,3,3,8,9,9,3,9,4,9,8,11,9,9,9,3,9,9,3,9,3,9,3,9,3,9,3,4,11,3
33371,cg01801174,chr1,161123760,161123762,+,RP11-297K8.2;UFC1,RP11-297K8.2;UFC1,chr1:161128944-161129078,5183.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
33389,cg26486702,chr1,161129447,161129449,+,RP11-297K8.2;USP21,RP11-297K8.2;USP21,chr1:161128944-161129078,370.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33404,cg20803370,chr1,161136161,161136163,+,PPOX,PPOX,chr1:161135957-161136091,71.0,1,1,1,1,1,1,1,1,2,1,3,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
33405,cg00397740,chr1,161136320,161136322,+,PPOX,PPOX,chr1:161135957-161136091,230.0,1,3,1,3,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
33413,cg23082632,chr1,161146977,161146979,-,B4GALT3;PPOX,B4GALT3;PPOX,chr1:161147591-161147725,613.0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,3,1,1,2,1
33419,cg03522910,chr1,161147596,161147598,+,B4GALT3;PPOX,B4GALT3;PPOX,chr1:161147591-161147725,0.0,1,3,1,3,1,1,1,1,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,3,3,1,1,3,1,1,1,1
33428,cg07354440,chr1,161168888,161168890,-,ADAMTS4;NDUFS2,ADAMTS4;NDUFS2,chr1:161168107-161168241,648.0,9,9,9,9,9,10,10,1,10,10,3,1,18,9,3,3,3,10,2,6,1,9,10,9,10,9,1,10,10,9,10,10,1,10,3,9,11,3,3,3,6,10
33433,cg17166812,chr1,161169573,161169575,+,ADAMTS4;NDUFS2,ADAMTS4;NDUFS2,chr1:161168107-161168241,1333.0,9,9,9,9,10,9,9,1,10,10,9,3,18,9,9,9,9,10,6,6,3,3,9,9,6,11,3,10,10,10,10,9,9,9,9,9,9,9,10,9,6,9
33434,cg14448116,chr1,161170109,161170111,-,ADAMTS4;NDUFS2,ADAMTS4;NDUFS2,chr1:161168107-161168241,1869.0,9,9,9,9,10,9,9,1,10,10,9,3,18,9,9,9,9,10,10,6,3,3,10,9,6,11,3,10,10,10,9,9,9,10,9,9,9,9,10,9,6,9
33451,cg05659526,chr1,161184527,161184529,+,FCER1G,FCER1G,chr1:161179716-161179850,4678.0,5,5,6,5,5,5,7,10,5,6,6,5,5,5,5,5,5,10,6,5,5,5,5,6,5,7,7,7,7,5,7,6,5,5,7,7,5,5,7,7,5,5
33454,cg13853198,chr1,161185091,161185093,+,FCER1G,FCER1G,chr1:161179716-161179850,5242.0,6,7,6,7,7,4,7,1,7,6,6,7,6,7,2,5,2,10,6,5,6,7,5,6,5,1,10,10,7,6,7,10,5,8,2,8,1,2,1,1,5,7
33462,cg01053621,chr1,161193990,161193992,-,APOA2,APOA2,chr1:161195451-161195585,1460.0,18,6,18,18,9,18,18,18,6,18,6,18,18,6,6,17,6,9,17,18,6,18,9,18,6,17,6,3,6,18,6,18,18,18,18,6,18,17,6,18,6,18
33463,cg27433062,chr1,161194368,161194370,+,APOA2;TOMM40L,APOA2;TOMM40L,chr1:161195451-161195585,1082.0,18,6,18,18,9,18,18,18,6,18,6,18,18,11,6,17,6,10,17,11,6,18,10,18,6,17,6,1,6,18,6,18,18,18,18,6,18,17,6,18,6,18
33468,cg24592207,chr1,161195815,161195817,-,MIR5187;TOMM40L,MIR5187;TOMM40L,chr1:161195451-161195585,231.0,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,2,2,1,1,1,2,1,4,1,3,1,1,1,1,1,4,1,1,1,3,1,1,2,1
33469,cg02525396,chr1,161195882,161195884,+,MIR5187;TOMM40L,MIR5187;TOMM40L,chr1:161195451-161195585,298.0,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,2,2,1,1,1,2,1,4,1,3,1,1,1,1,1,4,1,1,1,3,1,1,2,1
33475,cg25214346,chr1,161207965,161207967,-,NR1I3,NR1I3,chr1:161199825-161199959,8007.0,18,17,18,17,9,18,18,18,18,18,17,17,18,17,16,17,18,11,18,18,18,18,9,18,18,11,18,1,17,6,18,18,18,18,17,18,18,17,17,10,18,18
33476,cg06277277,chr1,161208306,161208308,-,NR1I3,NR1I3,chr1:161199825-161199959,8348.0,18,17,18,17,9,18,18,18,18,18,17,17,18,17,16,17,18,17,18,18,18,18,9,18,18,6,18,3,17,6,18,18,18,18,17,18,18,17,17,10,18,18
33493,cg00101227,chr1,161280265,161280267,+,MPZ,MPZ,chr1:161276134-161276268,3998.0,6,17,18,17,17,6,18,6,18,18,17,6,17,9,17,16,18,6,18,18,6,6,17,18,17,18,6,18,18,6,18,6,18,18,17,6,6,16,18,18,17,18
33504,cg11221265,chr1,161284278,161284280,-,SDHC,SDHC,chr1:161284614-161284748,335.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33558,cg24422489,chr1,161474975,161474977,-,FCGR2A,FCGR2A,chr1:161456915-161457049,17927.0,17,17,17,17,16,17,6,18,18,17,17,17,18,6,17,17,17,17,17,6,17,18,17,17,17,18,6,18,17,17,18,17,17,17,17,10,17,17,17,18,17,17
33559,cg27470554,chr1,161475239,161475241,-,FCGR2A,FCGR2A,chr1:161456915-161457049,18191.0,17,17,17,17,17,16,10,1,18,17,16,17,18,11,1,17,10,10,17,2,15,18,17,17,17,1,1,10,10,17,18,10,17,11,17,10,1,10,1,1,17,17
33565,cg24192663,chr1,161493010,161493012,-,FCGR2A;HSPA6;RP11-25K21.6,FCGR2A;HSPA6;RP11-25K21.6,chr1:161510106-161510240,17095.0,18,17,18,18,17,18,6,10,18,18,18,10,18,18,6,17,10,18,18,18,18,10,16,18,17,6,18,18,18,18,18,18,18,17,18,6,6,16,18,10,17,18
33647,cg26015133,chr1,161692246,161692248,-,FCRLB,FCRLB,chr1:161695834-161695968,3587.0,17,16,18,17,16,17,17,17,18,17,16,18,18,15,17,16,18,17,17,18,17,17,16,17,16,17,17,17,17,6,18,17,18,16,16,11,17,16,17,17,17,17
33648,cg27495845,chr1,161693087,161693089,+,FCRLB,FCRLB,chr1:161695834-161695968,2746.0,17,16,18,17,16,17,17,17,18,17,16,18,18,17,17,16,18,17,16,18,17,17,16,18,16,17,17,17,17,18,18,17,18,16,16,6,17,16,17,17,17,17
33667,cg16414945,chr1,161719332,161719334,+,DUSP12,DUSP12,chr1:161719453-161719587,120.0,1,1,1,3,3,1,10,1,18,2,1,1,10,3,4,1,1,10,2,18,3,1,3,2,2,2,3,4,10,10,3,1,2,3,3,10,3,1,2,1,18,1
33672,cg23779106,chr1,161719819,161719821,-,DUSP12,DUSP12,chr1:161720010-161720144,190.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,2,1
33680,cg26591879,chr1,161736012,161736014,+,ATF6;RP11-474I16.8,ATF6;RP11-474I16.8,chr1:161733415-161733549,2464.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33685,cg07924819,chr1,161736103,161736105,-,ATF6;RP11-474I16.8,ATF6;RP11-474I16.8,chr1:161733415-161733549,2555.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33720,cg20172280,chr1,161993541,161993543,+,OLFML2B,OLFML2B,chr1:161994113-161994247,571.0,1,1,1,14,14,2,3,1,2,14,14,14,1,14,14,14,2,14,2,4,2,2,14,1,2,3,1,4,9,4,14,1,4,14,3,4,2,1,14,2,14,14
33730,cg19130550,chr1,161994276,161994278,-,OLFML2B,OLFML2B,chr1:161994113-161994247,30.0,3,14,2,2,14,17,17,4,18,2,2,4,18,14,14,3,17,17,17,11,4,4,14,2,2,14,2,15,6,17,17,2,2,14,14,17,2,3,14,3,15,2
33736,cg17096191,chr1,162039223,162039225,-,NOS1AP,NOS1AP,chr1:162035366-162035500,3724.0,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,14,2,1,1,1,1,1,1,2,14,2,2,1,1,1,2,1,1,14,2,2,2,2,1,1,2,1
33743,cg06473539,chr1,162039958,162039960,-,NOS1AP,NOS1AP,chr1:162035366-162035500,4459.0,2,14,2,1,2,1,1,1,3,4,2,1,2,2,4,14,1,1,1,1,1,1,2,4,14,14,1,1,1,2,1,1,3,15,14,4,2,14,1,2,4,1
33782,cg14701962,chr1,162348009,162348011,-,C1orf111;C1orf226;RP11-565P22.6,C1orf226;RP11-565P22.6;SPATA46,chr1:162342742-162342876,5134.0,6,17,6,6,6,18,6,6,6,18,6,6,6,6,6,6,6,17,18,6,18,6,6,18,18,6,6,5,17,6,6,13,6,18,18,6,18,17,6,6,18,6
33795,cg26379475,chr1,162381780,162381782,-,SH2D1B,SH2D1B,chr1:162366847-162366981,14800.0,18,18,18,18,18,17,12,18,18,18,17,18,13,18,18,18,18,17,16,13,18,17,18,18,18,17,18,13,17,18,18,17,18,18,18,18,18,18,18,17,18,18
33797,cg12274567,chr1,162382198,162382200,+,SH2D1B,SH2D1B,chr1:162366847-162366981,15218.0,18,18,18,18,18,17,13,18,18,18,17,18,13,18,18,18,18,17,16,13,18,17,18,18,18,17,18,13,17,18,18,17,18,18,18,18,18,18,18,17,18,18
33801,cg07175007,chr1,162467184,162467186,-,UHMK1,UHMK1,chr1:162445741-162445875,21310.0,3,3,3,4,4,1,1,4,2,3,3,3,1,2,3,1,3,10,2,4,3,3,4,1,17,11,3,2,10,4,10,3,1,17,1,10,3,3,4,1,17,3
33804,cg19451466,chr1,162467440,162467442,-,UHMK1,UHMK1,chr1:162445741-162445875,21566.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,10,1,1,1,1,2,1
33822,cg27409012,chr1,162531172,162531174,-,RP11-359K18.3;UAP1,RP11-359K18.3;UAP1,chr1:162534588-162534722,3415.0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1
33825,cg15103675,chr1,162531518,162531520,+,RP11-359K18.3;UAP1,RP11-359K18.3;UAP1,chr1:162534588-162534722,3069.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
33835,cg17496788,chr1,162601806,162601808,+,DDR2,DDR2,chr1:162603132-162603266,1325.0,1,1,1,1,1,1,10,1,10,2,3,10,1,3,1,1,1,10,2,18,1,1,1,1,18,9,2,10,10,10,1,1,1,6,1,10,1,3,1,2,6,1
33839,cg22740835,chr1,162602558,162602560,-,DDR2,DDR2,chr1:162603132-162603266,573.0,1,1,1,1,1,1,10,1,10,2,1,2,1,1,1,1,2,10,2,18,1,2,1,1,18,10,1,10,10,10,1,1,2,6,1,10,1,1,1,2,6,1
33857,cg07774025,chr1,162760658,162760660,+,HSD17B7,HSD17B7,chr1:162770166-162770300,9507.0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,18,1
33885,cg22605643,chr1,163039011,163039013,+,RGS4,RGS4,chr1:163039145-163039279,133.0,2,11,1,16,16,2,18,14,2,2,1,1,1,2,2,1,1,15,1,11,1,1,16,2,17,18,2,16,18,2,18,2,2,16,4,18,1,11,14,1,18,1
33886,cg09501516,chr1,163039154,163039156,-,RGS4,RGS4,chr1:163039145-163039279,0.0,2,11,1,16,16,2,18,14,2,2,1,1,1,2,2,1,1,15,1,11,1,1,16,2,17,18,2,16,18,2,18,2,2,16,4,18,1,11,14,1,18,1
33899,cg10604646,chr1,163172648,163172650,+,RGS5;RP11-267N12.1,RGS5;RP11-267N12.1,chr1:163144714-163144848,27801.0,1,2,1,18,17,3,9,2,11,17,2,18,1,2,2,3,6,17,18,18,18,18,2,18,18,11,18,18,18,17,18,2,11,18,18,18,1,18,2,18,18,18
33901,cg24901474,chr1,163173039,163173041,-,RGS5;RP11-267N12.1,RGS5;RP11-267N12.1,chr1:163144714-163144848,28192.0,9,18,9,18,17,1,10,18,11,17,3,18,1,18,18,9,6,17,18,18,18,18,18,18,18,18,18,18,18,17,18,2,18,18,18,18,10,18,18,18,18,18
33908,cg16604136,chr1,163291492,163291494,+,NUF2;RGS5,NUF2;RGS5,chr1:163285710-163285844,5649.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,10,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
33912,cg15778350,chr1,163291774,163291776,-,NUF2;RGS5,NUF2;RGS5,chr1:163285710-163285844,5931.0,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,10,2,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,2,1
33965,cg00532890,chr1,164528681,164528683,-,PBX1,PBX1,chr1:164504574-164504708,23974.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,2,1,10,2,1,1,1,2,1
33968,cg24489237,chr1,164529169,164529171,-,PBX1,PBX1,chr1:164504574-164504708,24462.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,14,1,1,3,1,1,1,1,1,14,1,1,1,1,1,1,2,1
34093,cg24650501,chr1,165324989,165324991,-,LMX1A,LMX1A,chr1:165336746-165336880,11756.0,14,14,14,16,16,15,15,15,4,16,14,16,17,15,14,15,15,16,16,11,15,14,16,15,16,15,15,4,16,15,16,11,14,16,14,15,14,15,15,14,16,15
34094,cg07686479,chr1,165325029,165325031,+,LMX1A,LMX1A,chr1:165336746-165336880,11716.0,14,14,14,16,16,15,15,15,2,15,14,16,17,15,14,15,15,16,16,11,16,14,16,15,16,15,16,11,16,15,15,11,14,16,14,15,14,14,15,15,15,15
34117,cg10364513,chr1,165414378,165414380,+,RXRG,RXRG,chr1:165422109-165422243,7730.0,2,3,15,17,14,3,1,1,2,1,14,14,2,14,4,14,2,15,1,4,2,2,14,4,16,11,2,17,15,11,14,3,1,16,1,11,14,3,14,1,16,14
34123,cg08623787,chr1,165414610,165414612,-,RXRG,RXRG,chr1:165422109-165422243,7498.0,17,1,15,17,16,18,2,1,18,10,14,14,17,16,16,14,17,16,2,18,2,2,16,17,16,17,2,17,17,18,14,2,2,16,3,11,16,3,16,1,16,16
34158,cg27477594,chr1,165600169,165600171,-,MGST3,MGST3,chr1:165601162-165601296,992.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
34163,cg22165507,chr1,165601006,165601008,+,MGST3,MGST3,chr1:165601162-165601296,155.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,3,1,1,1,1,1,14,1,1,1,3,1,1,2,1
34179,cg08343943,chr1,165668115,165668117,+,ALDH9A1;RP11-466F5.6,ALDH9A1;RP11-466F5.6,chr1:165667151-165667285,831.0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,10,1,2,3,1,3,2,3,1,1,3,1,1,3,1,1,3,3,10,3,3,1,1,4,1
34180,cg11373746,chr1,165668180,165668182,+,ALDH9A1;RP11-466F5.6,ALDH9A1;RP11-466F5.6,chr1:165667151-165667285,896.0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,10,1,2,3,1,3,2,3,1,1,3,1,1,3,1,1,3,3,10,3,3,1,1,4,1
34185,cg18964732,chr1,165737774,165737776,-,RP11-466F5.8;TMCO1,RP11-466F5.8;TMCO1,chr1:165737948-165738082,173.0,1,2,1,3,2,1,1,1,2,1,1,2,1,2,3,2,1,1,2,2,1,2,1,2,1,2,1,3,1,2,2,1,1,1,3,1,1,2,2,4,2,1
34202,cg15781625,chr1,165796653,165796655,+,TMCO1;UCK2,TMCO1;UCK2,chr1:165796546-165796680,0.0,2,2,2,2,1,1,10,2,10,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,10,1,1,2,2,2,1
34205,cg03036064,chr1,165797084,165797086,-,TMCO1;UCK2,TMCO1;UCK2,chr1:165797263-165797397,178.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1
34272,cg24272559,chr1,166572715,166572717,-,FMO9P,FMO9P,chr1:166646357-166646491,73641.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,6,18,18,18,18,18,18,18,18,18,18,18,18
34281,cg14256814,chr1,166808416,166808418,+,POGK,POGK,chr1:166809378-166809512,961.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34287,cg26079320,chr1,166809406,166809408,+,POGK,POGK,chr1:166809378-166809512,0.0,3,4,3,3,3,1,1,3,3,1,3,1,1,4,3,3,1,3,1,2,3,3,3,2,4,3,3,3,1,1,3,1,1,3,3,3,3,3,3,1,4,3
34298,cg09527021,chr1,166845373,166845375,-,TADA1,TADA1,chr1:166845708-166845842,334.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
34341,cg08348962,chr1,166944392,166944394,-,ILDR2;MAEL,ILDR2;MAEL,chr1:166879741-166879875,64518.0,2,2,2,14,14,2,4,1,18,4,1,1,2,14,14,14,1,16,2,4,1,1,14,4,2,11,1,4,17,4,14,2,2,4,2,11,2,14,14,1,15,2
34345,cg15965055,chr1,166945156,166945158,-,ILDR2;MAEL,ILDR2;MAEL,chr1:166879741-166879875,65282.0,1,2,1,2,14,1,2,1,2,1,1,1,2,14,2,14,1,2,2,2,1,1,14,2,1,1,1,1,2,2,2,1,1,14,2,2,2,14,2,1,2,2
34349,cg18894878,chr1,166958220,166958222,+,MAEL,MAEL,chr1:167021835-167021969,63614.0,18,17,18,18,16,18,12,18,18,18,18,18,12,16,18,17,18,17,18,13,18,18,17,17,18,15,18,18,13,17,18,17,18,12,18,18,17,17,18,18,18,18
34358,cg13249256,chr1,166958580,166958582,+,MAEL,MAEL,chr1:167021835-167021969,63254.0,18,17,18,18,16,18,12,18,18,18,18,18,12,16,18,17,18,17,18,13,18,18,17,17,18,14,18,18,13,17,18,17,18,12,18,2,17,17,18,18,18,18
34368,cg06665322,chr1,167059364,167059366,+,GPA33,GPA33,chr1:167035973-167036107,23258.0,2,11,18,3,3,6,6,18,18,6,17,18,18,17,17,18,17,1,18,6,18,18,3,18,10,11,18,17,10,18,1,6,18,9,11,18,10,6,1,18,18,18
34404,cg21182322,chr1,167189622,167189624,-,POU2F1;RP11-277B15.3,POU2F1;RP11-277B15.3,chr1:167189274-167189408,215.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1
34460,cg09554443,chr1,167487761,167487763,-,AKR1D1P1;CD247,AKR1D1P1;CD247,chr1:167490184-167490318,2422.0,2,17,18,10,18,18,10,18,2,17,18,18,18,16,18,16,18,1,17,18,18,18,18,18,1,17,18,10,1,2,1,6,18,1,18,10,18,18,1,18,18,18
34471,cg19220586,chr1,167522469,167522471,+,CREG1,CREG1,chr1:167525469-167525603,2999.0,1,4,1,3,1,1,3,1,1,1,2,1,3,4,3,3,1,1,1,1,1,3,1,1,3,3,1,3,1,1,3,1,3,4,1,1,2,4,1,1,2,1
34488,cg12336540,chr1,167598992,167598994,-,RCSD1;RP3-455J7.4,RCSD1;RP3-455J7.4,chr1:167606690-167606824,7697.0,2,15,11,3,15,9,1,10,10,3,3,10,18,15,3,15,10,1,18,6,10,10,16,18,1,9,10,9,3,10,3,3,9,3,3,9,3,9,3,10,16,3
34522,cg18596794,chr1,167689890,167689892,-,MPZL1,MPZL1,chr1:167690314-167690448,423.0,6,6,18,6,10,18,6,10,6,18,6,6,18,6,6,17,10,6,18,18,18,6,11,6,6,9,6,11,10,18,18,18,6,6,6,6,6,6,10,18,6,6
34538,cg03001647,chr1,167691880,167691882,+,MPZL1,MPZL1,chr1:167690314-167690448,1433.0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,2,1,2,1,1,3,2,1,3,1,1,1,1,1,2,1,1,1,1,3,3,2,1
34559,cg06933072,chr1,167882950,167882952,-,ADCY10,ADCY10,chr1:167874019-167874153,8798.0,6,6,6,6,6,6,6,6,10,6,5,6,18,6,6,6,6,6,6,6,18,18,6,6,6,6,6,1,6,6,6,6,5,6,6,18,6,6,6,6,18,6
34561,cg08205865,chr1,167883378,167883380,+,ADCY10,ADCY10,chr1:167874019-167874153,9226.0,6,6,6,6,6,6,6,6,9,6,5,6,18,5,5,6,6,6,6,6,18,11,6,6,5,6,6,3,6,6,6,6,5,6,6,18,6,6,6,6,18,6
34566,cg08412305,chr1,167904989,167904991,-,DCAF6;MPC2,DCAF6;MPC2,chr1:167904838-167904972,18.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1
34569,cg08151281,chr1,167905379,167905381,+,DCAF6;MPC2,DCAF6;MPC2,chr1:167904838-167904972,408.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
34586,cg07684150,chr1,167906750,167906752,+,DCAF6;MPC2,DCAF6;MPC2,chr1:167904838-167904972,1779.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
34587,cg25219134,chr1,167906864,167906866,+,DCAF6;MPC2,DCAF6;MPC2,chr1:167904838-167904972,1893.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1
34602,cg04736140,chr1,168105316,168105318,+,GPR161,GPR161,chr1:168115151-168115285,9834.0,2,4,1,4,4,2,4,4,2,2,4,4,1,14,14,1,3,11,2,2,2,14,14,1,14,14,4,4,2,4,4,1,4,14,4,4,14,14,4,14,3,4
34624,cg24769045,chr1,168148298,168148300,-,TIPRL,TIPRL,chr1:168148117-168148251,48.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
