GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE65516,SRR1784182,,GSM1599149,SRR1784168,GSM1599157,SRR1784176,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,1000 cells
GSE65516,SRR1784182,,GSM1599150,SRR1784169,GSM1599158,SRR1784177,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,1000 cells
GSE65516,SRR1784182,,GSM1599151,SRR1784170,GSM1599159,SRR1784178,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,600 cells
GSE65516,SRR1784182,,GSM1599152,SRR1784171,GSM1599160,SRR1784179,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,600 cells
GSE65516,SRR1784182,,GSM1599153,SRR1784172,GSM1599161,SRR1784180,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,100 cells
GSE65516,SRR1784182,,GSM1599154,SRR2000430,GSM1599162,SRR1784181,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,100 cells
GSE65516,SRR1784182,,GSM1666202,SRR1995141,GSM1666206,SRR1995145,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,600 cells
GSE65516,SRR1784182,,GSM1666203,SRR1995142,GSM1666207,SRR1995146,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,600 cells
GSE65516,SRR1784182,,GSM1666204,SRR1995143,GSM1666208,SRR1995147,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,100 cells
GSE65516,SRR1784182,,GSM1666205,SRR1995144,GSM1666209,SRR1995148,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,100 cells
GSE66530,SRR1826964,,GSM1624506,SRR1826965,,,,,,,,,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,1,recombinant antibody study,antibody 1
GSE66530,SRR1826964,,GSM1624507,SRR1826966,,,,,,,,,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,2,recombinant antibody study,antibody 1
GSE66530,SRR1826964,,GSM1624508,SRR1826967,,,,,,,,,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,1,recombinant antibody study,antibody 2
GSE66530,SRR1826964,,GSM1624509,SRR1826968,,,,,,,,,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,2,recombinant antibody study,antibody 2
GSE66530,SRR1826959,,,,,,,,,,GSM1624501,SRR1826960,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,1,recombinant antibody study,antibody 1
GSE66530,SRR1826959,,,,,,,,,,GSM1624502,SRR1826961,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,2,recombinant antibody study,antibody 1
GSE66530,SRR1826959,,,,,,,,,,GSM1624503,SRR1826962,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,1,recombinant antibody study,antibody 2
GSE66530,SRR1826959,,,,,,,,,,GSM1624504,SRR1826963,,,,,,cell line,Kidney,293,,,,Illumina HiSeq 2500,SE,,,2,recombinant antibody study,antibody 2
GSE66594,SRR1842759; SRR1842760; SRR1842761,,,,GSM1625977,SRR1842735; SRR1842736; SRR1842737,GSM1625973,SRR1842723; SRR1842724; SRR1842725,GSM1625981,SRR1842747; SRR1842748; SRR1842749,,,,,,,,cell line,Blood,Macrophages,,,control,Illumina HiSeq 1500,SE,,,,inflammation study,
GSE66594,"SRR1842762	; SRR1842763; SRR1842764",,,,GSM1625978,SRR1842738; SRR1842739; SRR1842740,GSM1625974,SRR1842726; SRR1842727; SRR1842728,GSM1625982,SRR1842750; SRR1842751; SRR1842752,,,,,,,,cell line,Blood,Macrophages,,,IFN-y,Illumina HiSeq 1500,SE,,,,inflammation study,
GSE66594,"SRR1842765	; SRR1842766; SRR1842767",,,,GSM1625979,SRR1842741; SRR1842742; SRR1842743,GSM1625975,SRR1842729; SRR1842730; SRR1842731,GSM1625983,SRR1842753; SRR1842754; SRR1842755,,,,,,,,cell line,Blood,Macrophages,,,IL4,Illumina HiSeq 1500,SE,,,,inflammation study,
GSE66594,SRR1842768; SRR1842769; SRR1842770,,,,GSM1625980,SRR1842744; SRR1842745; SRR1842746,GSM1625976,SRR1842732; SRR1842733; SRR1842734,GSM1625984,SRR1842756; SRR1842757; SRR1842758,,,,,,,,cell line,Blood,Macrophages,,,TPP,Illumina HiSeq 1500,SE,,,,inflammation study,
GSE67978,SRR3030727,SRR3030726,GSM1821387,SRR2102199,GSM1660046,SRR1978996,,,,,,,,,68,,F,tissue,Neural,Cerebellum,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,GSM1821388,SRR2102200,GSM1660028,SRR1978978,,,,,,,,,68,,F,tissue,Neural,Occipital Lobe,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,GSM1821389,SRR2102201,GSM1660043,SRR1978993,,,,,,,,,68,,F,tissue,Neural,Precentral gyrus,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,GSM1821390,SRR2102202,GSM1660040,SRR1978990,,,,,,,,,68,,F,tissue,Neural,Putamen,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,GSM1821391,SRR2102203,GSM1660031,SRR1978981,,,,,,,,,68,,F,tissue,Neural,White Matter,,,,Illumina HiSeq 2000,SE,,1,,,donor 1
GSE67978,SRR3030727,SRR3030726,GSM1821392,SRR2102204,,,,,,,,,,,68,,F,tissue,Neural,White Matter,,,,Illumina HiSeq 2000,SE,,2,,,donor 1
GSE67978,SRR3030727,SRR3030726,,,GSM1660047,SRR1978997,,,,,,,,,90,,F,tissue,Neural,Cerebellum,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660048,SRR1978998,,,,,,,,,50,,F,tissue,Neural,Cerebellum,,,,Illumina HiSeq 2000,SE,,,,,donor 4
GSE67978,SRR3030727,SRR3030726,,,GSM1660029,SRR1978979,,,,,,,,,90,,F,tissue,Neural,Occipital Lobe,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660030,SRR1978980,,,,,,,,,59,,F,tissue,Neural,Occipital Lobe,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660044,SRR1978994,,,,,,,,,90,,F,tissue,Neural,Precentral gyrus,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660045,SRR1978995,,,,,,,,,59,,F,tissue,Neural,Precentral gyrus,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660041,SRR1978991,,,,,,,,,90,,F,tissue,Neural,Putamen,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660042,SRR1978992,,,,,,,,,59,,F,tissue,Neural,Putamen,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660032,SRR1978982,,,,,,,,,90,,F,tissue,Neural,White Matter,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660033,SRR1978983,,,,,,,,,59,,F,tissue,Neural,White Matter,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660034,SRR1978984,,,,,,,,,68,,F,tissue,Neural,Caudate Nucleus,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,,,GSM1660035,SRR1978985,,,,,,,,,90,,F,tissue,Neural,Caudate Nucleus,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660036,SRR1978986,,,,,,,,,59,,F,tissue,Neural,Caudate Nucleus,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660037,SRR1978987,,,,,,,,,68,,F,tissue,Neural,Thalamic Nuclei,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,,,GSM1660038,SRR1978988,,,,,,,,,90,,F,tissue,Neural,Thalamic Nuclei,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660039,SRR1978989,,,,,,,,,59,,F,tissue,Neural,Thalamic Nuclei,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE67978,SRR3030727,SRR3030726,,,GSM1660049,SRR1978999,,,,,,,,,68,,F,tissue,Neural,Prefrontal Cortex,,,,Illumina HiSeq 2000,SE,,,,,donor 1
GSE67978,SRR3030727,SRR3030726,,,GSM1660050,SRR1979000,,,,,,,,,90,,F,tissue,Neural,Prefrontal Cortex,,,,Illumina HiSeq 2000,SE,,,,,donor 2
GSE67978,SRR3030727,SRR3030726,,,GSM1660051,SRR1979001,,,,,,,,,59,,F,tissue,Neural,Prefrontal Cortex,,,,Illumina HiSeq 2000,SE,,,,,donor 3
GSE68952,SRR2028284,,GSM1688583,SRR2028278,,,,,,,,,,,55,,M,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688584,SRR2028279,,,,,,,,,,,63,,M,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688585,SRR2028280,,,,,,,,,,,64,,M,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688586,SRR2028281,,,,,,,,,,,74,,M,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688587,SRR2028282,,,,,,,,,,,81,,M,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688588,SRR2028283,,,,,,,,,,,68,,F,tissue,Neural,Prefrontal Cortex,,control,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688590,SRR2028285,,,,,,,,,,,55,,M,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688591,SRR2028286,,,,,,,,,,,71,,M,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688592,SRR2028287,,,,,,,,,,,43,,M,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688593,SRR2028288,,,,,,,,,,,68,,M,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688594,SRR2028289,,,,,,,,,,,56,,F,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE68952,SRR2028284,,GSM1688595,SRR2028290,,,,,,,,,,,69,,M,tissue,Neural,Prefrontal Cortex,,HD,,Illumina Genome Analyzer II,SE,,,,,
GSE69319,SRR2043239,,GSM1697670,SRR2043238,,,,,GSM1697669,SRR2043237,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,β-thalassemia,,Illumina Genome Analyzer,PE,,,,,
GSE69319,SRR2043242,,GSM1697673,SRR2043241,,,,,GSM1697672,SRR2043240,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,β-thalassemia,,Illumina Genome Analyzer,PE,,,,,
GSE69319,SRR2043245,,GSM1697676,SRR2043244,,,,,GSM1697675,SRR2043243,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,β-thalassemia,,Illumina Genome Analyzer,PE,,,,,
GSE69646,SRR2056011,,,,GSM1705251,SRR2056007,,,,,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,naïve ,Illumina HiSeq 2000,SE,,,1,,
GSE69646,SRR2056011,,,,GSM1705252,SRR2056008,,,,,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,naïve ,Illumina HiSeq 2000,SE,,,2,,
GSE69646,SRR2056020,,,,GSM1705260,SRR2056016,,,,,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,primed,Illumina HiSeq 2000,SE,,,1,,
GSE69646,SRR2056020,,,,GSM1705261,SRR2056017,,,,,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,primed,Illumina HiSeq 2000,SE,,,2,,
GSE71952,SRR2155304,SRR2155303,GSM1847924,SRR2155242,,,,,,,,,,,41,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847925,SRR2155243,,,,,,,,,,,41,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847926,SRR2155244,,,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847927,SRR2155245,,,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847928,SRR2155246,,,,,,,,,,,61,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847929,SRR2155247,,,,,,,,,,,61,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847930,SRR2155248,,,,,,,,,,,51,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847931,SRR2155249,,,,,,,,,,,51,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847932,SRR2155250,,,,,,,,,,,44,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847933,SRR2155251,,,,,,,,,,,44,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847934,SRR2155252,,,,,,,,,,,73,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847935,SRR2155253,,,,,,,,,,,73,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847936,SRR2155254,,,,,,,,,,,75,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847937,SRR2155255,,,,,,,,,,,45,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847938,SRR2155256,,,,,,,,,,,49,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847939,SRR2155257,,,,,,,,,,,50,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847940,SRR2155258,,,,,,,,,,,50,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847941,SRR2155259,,,,,,,,,,,52,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847942,SRR2155260,,,,,,,,,,,52,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847943,SRR2155261,,,,,,,,,,,28,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847944,SRR2155262,,,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847945,SRR2155263,,,,,,,,,,,62,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847946,SRR2155264,,,,,,,,,,,50,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847947,SRR2155265,,,,,,,,,,,50,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847948,SRR2155266,,,,,,,,,,,77,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847949,SRR2155267,,,,,,,,,,,77,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847950,SRR2155268,,,,,,,,,,,76,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847951,SRR2155269,,,,,,,,,,,76,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847952,SRR2155270,,,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847953,SRR2155271,,,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847954,SRR2155272,,,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847955,SRR2155273,,,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847956,SRR2155274,,,,,,,,,,,39,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847957,SRR2155275,,,,,,,,,,,39,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847958,SRR2155276,,,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847959,SRR2155277,,,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847960,SRR2155278,,,,,,,,,,,27,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847961,SRR2155279,,,,,,,,,,,27,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847962,SRR2155280,,,,,,,,,,,41,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847963,SRR2155281,,,,,,,,,,,41,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847964,SRR2155282,,,,,,,,,,,55,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847965,SRR2155283,,,,,,,,,,,55,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847966,SRR2155284,,,,,,,,,,,28,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847967,SRR2155285,,,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847968,SRR2155286,,,,,,,,,,,26,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847969,SRR2155287,,,,,,,,,,,26,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847970,SRR2155288,,,,,,,,,,,38,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847971,SRR2155289,,,,,,,,,,,38,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847972,SRR2155290,,,,,,,,,,,73,,M,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847973,SRR2155291,,,,,,,,,,,73,,M,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847974,SRR2155292,,,,,,,,,,,35,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847975,SRR2155293,,,,,,,,,,,29,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847976,SRR2155294,,,,,,,,,,,29,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847977,SRR2155295,,,,,,,,,,,57,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847978,SRR2155296,,,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847979,SRR2155297,,,,,,,,,,,26,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847980,SRR2155298,,,,,,,,,,,26,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847981,SRR2155299,,,,,,,,,,,72,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155305,SRR2155302,GSM1847982,SRR2155300,,,,,,,,,,,69,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155304,SRR2155303,GSM1847983,SRR2155301,,,,,,,,,,,56,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847867,SRR2155185,,,,,,,,,41,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847868,SRR2155186,,,,,,,,,41,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847869,SRR2155187,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847870,SRR2155188,,,,,,,,,61,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847871,SRR2155189,,,,,,,,,61,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847872,SRR2155190,,,,,,,,,51,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847873,SRR2155191,,,,,,,,,51,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847874,SRR2155192,,,,,,,,,44,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847875,SRR2155193,,,,,,,,,44,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847876,SRR2155194,,,,,,,,,73,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
